id,name,Country
0024e080-5f84-4010-9905-3eb729d7ab6c,Compass Lounge,Malta
014676b6-caa2-43cc-8af4-5ed09c3306a1,Piatto Nero Mediterranean Restaurant,Malta
01542847-7d70-41eb-8c08-f5dbd0f59326,Paranga,Malta
05c4fd66-1eee-4771-ae21-b54bfee97c71,Okurama Asian Fusion,Malta
06e874e3-e7c9-4c78-82df-297cebe72e02,Le Bistro,Malta
071e8d00-34ff-4fff-8b90-9dc591842ea5,Paparazzi 29,Malta
088fb339-92a4-4f3b-8dec-6357e44dc508,Doma Marsascala,Malta
08f9854f-4517-45f9-809d-0ade4f7a2321,Peppermint,Malta
095958f2-7e78-48df-b010-0f39d2eec10e,Piccolo Padre,Malta
0b12ffb4-0bc9-4e2d-8ffe-29c6484d4a6f,The Bridge Bar,Malta
0beab620-baf8-4640-bbf7-967512370a95,Felice Brasserie,Malta
0cae3ec2-67d3-43f1-85f1-c63adfd81078,Sakura Japanese Cuisine Lounge,Malta
0e2c98ed-4bd0-494e-802d-b944e6946e2a,Surfside,Malta
0e45fb54-3c1d-4d0b-95a4-f12b7c39a367,Hot Shot Bar,Malta
0ffe09e0-90be-496d-9ea1-979ed5d9784b,Fresco's,Malta
126aff90-704e-4ef3-ab17-b4945aa2ec0c,Henry J. Bean's,Malta
12e20f1c-654b-476d-abbc-bdf263b780b8,Babel Bistro,Malta
13b28f21-eb7a-4a70-bb64-eca59b3493da,Trattoria del Mare - Malta Restaurant,Malta
13fc530e-d030-4c55-8f61-0aebdbdc60a1,Malta Chocolate Factory,Malta
142ee24a-5737-44d2-9522-2d3be64a0dc8,Focacceria Dal Pani,Malta
157e4186-1ac8-4c81-80b1-5a2325a7aca0,Tiffany's Bistroc,Malta
15c918bd-31b8-44e1-9548-cb5531055de5,Cuba Campus Hub,Malta
1651f227-aa43-4294-bbf0-6df9bce10a60,Peppi's Restaurant,Malta
17387bcc-8c07-4221-8c5c-64e79ea1160d,Tigne Beach Club,Malta
1aa68888-c86c-404e-8a08-64974d54434e,Piadina Caffe,Malta
1ab0f146-d01f-4cbb-af8c-35ad90da24a6,Zizka,Malta
1ad82a8d-360e-40b2-81f7-2fd9822943ff,Barracuda Rooftop Lounge,Malta
1bc64940-23fe-42f8-b2fd-dd5413220e6c,Little Argentina,Malta
1bf0bc75-aa5f-43db-950d-1e21e8cd7975,Cuba Campus Hub,Malta
1d708d00-3184-4751-ba8a-08f99eaf7f6d,Soul Food,Malta
1dcf6683-b955-418a-982b-cbdf27ef9eb9,9 Ball Cafe,Malta
203c8212-a857-46c5-bfc5-2b6a897a4fb8,Felice Brasserie,Malta
2218314d-0f6d-4bd5-ba4c-a2c1496ee725,Maxima Bar & Restaurant,Malta
22abc2de-19ff-422a-91fb-583d1f301cf2,Sandy Waters,Malta
259f4079-4995-403e-906b-d2b124c3dcb0,Jungle Joy Bar - Restaurant,Malta
25a29714-6db7-4772-ad62-cb7e0d431e3f,Aqualuna Lido,Malta
2730b3de-fc74-43c2-bc2e-563e25c0cb78,Felice Brasserie,Malta
27d6d10b-cab9-402d-8adc-17bc4c652691,Gandhi Tandoori,Malta
285757b6-3adf-4435-8faf-8f4dca80f7da,Open Waters,Malta
2b183351-4959-42e5-b755-d99de3b91397,StrEat,Malta
2b2a9792-fbc1-42e7-8d54-41ef2006f5b2,The Crafty Cat Pub,Malta
2ce69916-6f01-4834-b6f2-5d7c64fec538,Black Bull,Malta
2dc9c5a2-efed-4ac1-9c6d-fa8fe1c4ce5f,Ħelu Manna Gluten Free Kafeterija Valletta,Malta
2e4fd7de-fc74-4877-838b-a6cca173ddfb,Opa! Mediterranean Fusion,Malta
2ff677ff-52d1-4d0d-ba33-f69e91797673,The Londoner British Pub Sliema,Malta
30a4b1d7-6dfa-42bb-9588-174eb75d5174,Black Gold Saloon,Malta
31a4dd99-a5d7-4f24-9cd0-5a10501988f4,Spinola Cafe Lounge St Julians,Malta
335e9f81-b28f-4df8-8726-b2a74174b0da,Tiffany Lounge Restaurant,Malta
34a74b0d-f68a-47fc-87ab-777d1fc51e54,The Watson's Pub & Diner,Malta
3516e976-99b9-47c8-94b4-9b86abf944ad,The Dragon Chinese restaurant,Malta
35af8adb-3ca6-4903-84e6-6b892317ee2c,Bistro 516,Malta
3658f346-5a88-4921-aacb-d390d6ed0d97,Lino Kiosk,Malta
3659a4b7-e9cc-4088-af4d-b8321d89ba3e,¡LA LUZ!,Malta
376414cd-4fae-4bc6-b305-850467d2be40,Cafe Cuba St Julians,Malta
37ed7e10-943f-462f-94c2-331d12c538dc,Ta' Kolina,Malta
3a026243-5797-4a06-886f-177a36ddfc9b,Lou's Bistro,Malta
3a35bfd5-9001-4500-a07f-b7090b32412e,Ventuno Restaurant,Malta
3ba0a875-b4ac-4a55-8357-a956e8a57269,MUŻA Restaurant,Malta
3cc19624-b53e-4c18-8b8e-4d4495266f26,White Wine And Food,Malta
3ce52182-fefd-4c94-acbf-e05a8350bb12,Ocean Basket,Malta
41ec4713-f718-4536-80e2-19ab43e96813,The Hatter Irish Pub,Malta
42d8f9c4-6024-4b18-9e8c-9914299a6dbf,Cafe Society,Malta
